kabupaten_kota;gabah_kering_panen;gabah_kering_giling;beras_medium;beras_premium;hama_tikus;wereng_batang_coklat;penggerek_batang_padi;hama_kresek;hama_tungro;hama_blas;dampak_kekeringan;dampak_banjir;periode_update
Pacitan;0;5,5;8,5;10,5;0;0;0;0.3;0;6.05;0;0;Januari 2020
Ponorogo;4,478;5,362;8,75;10,5;13.3;0;0.5;3.5;0;0.5;0;7;Januari 2020
Trenggalek;4,796;5,558;8,383;8,848;24;0;1.5;0.45;0;1.55;0;0;Januari 2020
Tulungagung;4,832;5,743;8,675;9,789;18.41;0;1.4;0;0;0;0;0;Januari 2020
Blitar;4,7;5,655;8,68;9,768;6.07;0;0.49;0;0;0.75;0;6;Januari 2020
Kediri;5,041;5,941;8,704;9,825;36.62;0;9.03;9.6;0.7;1.54;0;5.2;Januari 2020
Malang;5,088;5,715;9,147;9,917;11.2;0.4;13.05;11.45;0;2.4;0;0;Januari 2020
Lumajang;4,89;5,853;9;9,5;62.6;1.85;38.1;24.25;0;10.8;0;0;Januari 2020
Jember;4,58;5,5;8,696;10,331;24.95;6.3;9.4;12.1;0;59.5;98.56;30;Januari 2020
Banyuwangi;5,04;5,64;8,781;9,643;5.25;2;34.25;12;9.5;2;0;0;Januari 2020
Bondowoso;4,842;5,068;9,114;10,073;8.35;4;80.25;17.75;0.8;18.1;0;0;Januari 2020
Situbondo;4,81;5,91;9,415;10,786;0;0;14.8;2;0;0;0;0;Januari 2020
Probolinggo;5,812;5,598;8,885;9,74;10.55;0;12.9;6.95;0.5;9;0;0;Januari 2020
Pasuruan;4,76;5,795;9,465;9,8;1.15;0.5;2.4;0.4;0.8;0;0;173;Januari 2020
Sidoarjo;4,65;2,575;4,4;0;198.4;0;0;25.9;0;0;0;13.5;Januari 2020
Mojokerto;0;5,8;8,844;10;14.19;0.6;0.5;10.8;2;0.8;0;7.1;Januari 2020
Jombang;4,995;5,533;8,898;9,6;99.39;0;1;3.07;0;1.71;0;253.5;Januari 2020
Nganjuk;4,861;5,842;8,694;10,257;81.5;0;0;1.22;0;2.25;0;0;Januari 2020
Madiun;5,05;5,875;8,775;9,2;272.55;0;3.63;3.14;0;4.81;0;0;Januari 2020
Magetan;4,628;5,643;8,8;0;11.05;0.25;0;18.75;0;8.03;0;0;Januari 2020
Ngawi;4,9;1,4;7,85;9,8;171.67;5;16.65;15.72;0;2.5;0;0;Januari 2020
Bojonegoro;5,083;5,9;9;10;400;0;393;27;0;30;0;59;Januari 2020
Tuban;4,994;5,848;8,676;10,3;392.2;0;0;45;0;5;0;0;Januari 2020
Lamongan;4,764;5,627;9,141;10,102;377.1;0;46.5;0;0;13.9;0;530;Januari 2020
Gresik;0;0;8,964;10,2;28.4;0;1.1;1.1;0;0.5;0;2350.5;Januari 2020
Bangkalan;4,7;5,5;8,869;10,464;23;0;4;55;0;44.8;0;0;Januari 2020
Sampang;0;0;7,65;0;0;0;0;13.5;0;82.7;0;0;Januari 2020
Pamekasan;0;4,6;9;8;10;0;0;80.8;0;6.2;0;0;Januari 2020
Sumenep;0;4,125;0;0;0;0;0;19.5;0;81.2;0;0;Januari 2020
Kota Kediri;0;0;8,721;0;0.2;0;0;0;0;0;0;0;Januari 2020
Kota Blitar;0;0;9,789;9,79;0;0;0;0;0;0;0;0;Januari 2020
